emp_no,first_name,last_name,to_date,title,from_date
10762,Lech,Himler,9999-01-01,Staff,1992-01-21
10762,Lech,Himler,9999-01-01,Senior Staff,1999-01-21
10933,Juyoung,Seghrouchni,9999-01-01,Senior Engineer,1993-08-02
14104,Sudhanshu,Demian,9999-01-01,Staff,1994-07-23
14104,Sudhanshu,Demian,9999-01-01,Senior Staff,1999-07-23
14476,Sastry,Marrevee,9999-01-01,Engineer,1999-09-25
17731,Gennady,Roison,9999-01-01,Engineer,1997-12-06
17731,Gennady,Roison,9999-01-01,Assistant Engineer,1989-12-06
18583,Stafford,Honglei,9999-01-01,Staff,1998-08-16
19350,Satoru,Yoshizawa,9999-01-01,Staff,1994-03-27
19350,Satoru,Yoshizawa,9999-01-01,Senior Staff,1999-03-27
20100,Utz,Heuter,9999-01-01,Staff,1986-06-15
20100,Utz,Heuter,9999-01-01,Senior Staff,1995-06-15
20129,Rafael,Skafidas,9999-01-01,Senior Engineer,2000-03-27
20129,Rafael,Skafidas,9999-01-01,Engineer,1991-03-28
21909,Mohammed,Brizzi,9999-01-01,Staff,1991-12-28
21909,Mohammed,Brizzi,9999-01-01,Senior Staff,1998-12-28
22451,Jasminko,Bresenham,9999-01-01,Staff,1987-12-16
22451,Jasminko,Bresenham,9999-01-01,Senior Staff,1996-12-15
27620,Shuji,Kandlur,9999-01-01,Senior Engineer,1997-03-02
27620,Shuji,Kandlur,9999-01-01,Engineer,1990-03-02
27686,Manu,Rosiles,9999-01-01,Senior Staff,1998-03-03
29265,Gilbert,Calkin,9999-01-01,Staff,1988-03-21
29265,Gilbert,Calkin,9999-01-01,Senior Staff,1994-03-21
29954,Pranay,Giarratana,9999-01-01,Senior Engineer,1992-09-29
30938,Yakkov,Samarati,9999-01-01,Staff,1995-05-23
30938,Yakkov,Samarati,9999-01-01,Senior Staff,2000-05-22
31188,Leandro,Gist,9999-01-01,Technique Leader,1993-02-03
34505,Felicidad,Kumaresan,9999-01-01,Staff,1994-09-06
34505,Felicidad,Kumaresan,9999-01-01,Senior Staff,2001-09-06
38043,Michaela,Randi,9999-01-01,Senior Engineer,1994-11-23
38043,Michaela,Randi,9999-01-01,Engineer,1985-11-23
39341,Mahmut,Lampe,9999-01-01,Senior Engineer,1994-05-11
39341,Mahmut,Lampe,9999-01-01,Engineer,1985-05-11
44265,Maria,Eppinger,9999-01-01,Engineer,1997-01-30
46328,Wuxu,Trogemann,9999-01-01,Senior Staff,1997-01-27
46834,Tooru,Daescu,9999-01-01,Senior Staff,1998-03-20
47139,Marco,Usdin,9999-01-01,Engineer,1996-10-29
49477,Baocai,Leaver,9999-01-01,Senior Staff,1998-08-05
50453,Aron,Harbusch,9999-01-01,Staff,1997-10-02
51060,Youngkon,Rohrbach,9999-01-01,Senior Engineer,1998-10-20
51060,Youngkon,Rohrbach,9999-01-01,Engineer,1989-10-20
52770,Shugo,Yurek,9999-01-01,Staff,1992-08-28
52770,Shugo,Yurek,9999-01-01,Senior Staff,1998-08-28
53314,Eberhardt,Carrera,9999-01-01,Staff,1999-02-23
55687,Shih,Lindqvist,9999-01-01,Senior Engineer,1995-03-29
58141,Bezalel,Karner,9999-01-01,Staff,1994-09-27
58990,Palash,Trelles,9999-01-01,Engineer,1998-11-18
63419,Hiroyasu,Seuren,9999-01-01,Senior Engineer,1989-03-05
63566,Heekeun,Slaats,9999-01-01,Senior Staff,1999-01-12
64984,Eldridge,Eldridge,9999-01-01,Senior Engineer,1991-06-24
64984,Eldridge,Eldridge,9999-01-01,Engineer,1986-06-24
64487,Tsutomu,Rebaine,9999-01-01,Senior Engineer,1994-09-17
64487,Tsutomu,Rebaine,9999-01-01,Engineer,1986-09-17
65539,Aksel,Picaronny,9999-01-01,Senior Engineer,1998-01-27
65539,Aksel,Picaronny,9999-01-01,Engineer,1991-01-27
66702,Deniz,Thibadeau,9999-01-01,Senior Engineer,2000-09-26
66702,Deniz,Thibadeau,9999-01-01,Engineer,1994-09-27
67934,Aiman,Gargeya,9999-01-01,Senior Engineer,1993-03-07
67934,Aiman,Gargeya,9999-01-01,Engineer,1985-03-07
68416,Munenori,Debuse,9999-01-01,Senior Engineer,1990-11-08
68633,Chinhyun,Rassart,9999-01-01,Senior Engineer,1993-07-29
70990,Arumugam,Nitta,9999-01-01,Senior Engineer,1990-03-23
72190,Sajjad,Waeselynck,9999-01-01,Engineer,1999-09-13
76201,Arif,Preusig,9999-01-01,Senior Engineer,1992-04-02
77647,Niranjan,Schaaf,9999-01-01,Technique Leader,1989-11-05
83280,Francesca,Ellozy,9999-01-01,Senior Engineer,1999-08-08
84922,Parke,Unno,9999-01-01,Engineer,1996-07-01
88647,Vasiliy,Ratnaker,9999-01-01,Engineer,1995-08-09
89207,Along,Erol,9999-01-01,Staff,1992-10-16
89207,Along,Erol,9999-01-01,Senior Staff,1999-10-17
89680,Aiman,Mawatari,9999-01-01,Senior Engineer,1997-05-01
89680,Aiman,Mawatari,9999-01-01,Engineer,1988-05-01
90614,Yonghoan,Trogemann,9999-01-01,Engineer,1997-09-23
90614,Yonghoan,Trogemann,9999-01-01,Assistant Engineer,1988-09-23
91415,Jamaludin,Nilsson,9999-01-01,Staff,1987-01-15
91415,Jamaludin,Nilsson,9999-01-01,Senior Staff,1994-01-15
92454,Visit,McFarlan,9999-01-01,Senior Engineer,1996-10-21
92454,Visit,McFarlan,9999-01-01,Engineer,1987-10-22
97623,Haldon,Janetzko,9999-01-01,Staff,1990-09-11
97623,Haldon,Janetzko,9999-01-01,Senior Staff,1996-09-10
97018,Jeanna,Chinen,9999-01-01,Senior Engineer,1994-01-01
97018,Jeanna,Chinen,9999-01-01,Engineer,1989-01-01
100865,Hisao,Peral,9999-01-01,Senior Engineer,1998-10-03
100865,Hisao,Peral,9999-01-01,Engineer,1990-10-03
101902,Mantis,Millington,9999-01-01,Staff,1991-03-18
101902,Mantis,Millington,9999-01-01,Senior Staff,1997-03-17
103196,Djenana,Albarhamtoshy,9999-01-01,Staff,1988-07-16
103196,Djenana,Albarhamtoshy,9999-01-01,Senior Staff,1993-07-16
106096,Naftali,Schurmann,9999-01-01,Senior Engineer,1999-12-03
106096,Naftali,Schurmann,9999-01-01,Engineer,1992-12-02
108198,Randi,Samarati,9999-01-01,Staff,1992-10-20
108198,Randi,Samarati,9999-01-01,Senior Staff,1999-10-21
108091,Hisao,Ghemri,9999-01-01,Staff,1985-11-14
108091,Hisao,Ghemri,9999-01-01,Senior Staff,1990-11-14
108988,Oksana,Baek,9999-01-01,Staff,1989-07-20
108988,Oksana,Baek,9999-01-01,Senior Staff,1997-07-20
109278,Bangqing,Schach,9999-01-01,Staff,1988-03-22
109278,Bangqing,Schach,9999-01-01,Senior Staff,1996-03-22
201709,Fan,Kakkad,9999-01-01,Staff,1988-02-25
201709,Fan,Kakkad,9999-01-01,Senior Staff,1993-02-24
201739,Genta,Terekhov,9999-01-01,Assistant Engineer,1998-07-21
203474,Hugh,Jonsson,9999-01-01,Staff,1991-07-06
203474,Hugh,Jonsson,9999-01-01,Senior Staff,1997-07-05
205500,Mary,Setiz,9999-01-01,Senior Engineer,1989-01-13
206836,Guadalupe,Pfau,9999-01-01,Staff,1993-03-22
206836,Guadalupe,Pfau,9999-01-01,Senior Staff,2001-03-22
207068,Zhiguo,Ariola,9999-01-01,Senior Staff,1994-09-07
210017,Shalesh,Lovengreen,9999-01-01,Staff,1990-09-29
210017,Shalesh,Lovengreen,9999-01-01,Senior Staff,1996-09-28
212093,Leni,Henders,9999-01-01,Staff,1993-11-19
212093,Leni,Henders,9999-01-01,Senior Staff,1999-11-19
213140,Tru,Danecki,9999-01-01,Staff,1997-03-31
215843,Pramod,Loncour,9999-01-01,Staff,1987-03-31
215843,Pramod,Loncour,9999-01-01,Senior Staff,1993-03-30
216375,Byong,Gustavson,9999-01-01,Senior Engineer,1985-03-12
217387,Jianhao,Molenaar,9999-01-01,Senior Engineer,1994-10-22
217387,Jianhao,Molenaar,9999-01-01,Engineer,1987-10-22
217551,Panayotis,Lukaszewicz,9999-01-01,Senior Engineer,1995-06-06
217551,Panayotis,Lukaszewicz,9999-01-01,Engineer,1989-06-06
219047,Aemilian,Kusalik,9999-01-01,Senior Engineer,1995-05-27
219047,Aemilian,Kusalik,9999-01-01,Engineer,1987-05-27
221126,Tesuya,dAstous,9999-01-01,Senior Engineer,1995-11-30
221126,Tesuya,dAstous,9999-01-01,Engineer,1988-11-29
221369,Abdulah,Pocchiola,9999-01-01,Engineer,1996-08-28
222926,Limsoon,Erol,9999-01-01,Senior Engineer,1997-12-31
223595,Chiranjit,Dredge,9999-01-01,Technique Leader,1999-09-05
225964,Mooi,Cooman,9999-01-01,Senior Engineer,1998-06-07
225964,Mooi,Cooman,9999-01-01,Engineer,1989-06-07
225867,Ramalingam,Remmele,9999-01-01,Senior Engineer,1999-09-03
227354,Gio,Murtha,9999-01-01,Senior Engineer,1994-11-11
227354,Gio,Murtha,9999-01-01,Engineer,1986-11-11
230354,Yinghua,Lorho,9999-01-01,Staff,1991-08-09
230354,Yinghua,Lorho,9999-01-01,Senior Staff,2000-08-08
231798,Goetz,Alvarado,9999-01-01,Senior Engineer,1997-12-25
231798,Goetz,Alvarado,9999-01-01,Engineer,1988-12-25
233759,Zissis,Lodder,9999-01-01,Engineer,1999-09-25
235793,Jayesh,Spinelli,9999-01-01,Senior Engineer,1992-07-18
236315,IEEE,Raczkowsky,9999-01-01,Technique Leader,1996-07-24
236591,Insup,Reinhard,9999-01-01,Staff,1985-04-08
236591,Insup,Reinhard,9999-01-01,Senior Staff,1993-04-08
239748,Bilhanan,Dusink,9999-01-01,Staff,1988-06-04
239748,Bilhanan,Dusink,9999-01-01,Senior Staff,1996-06-04
240870,Francesca,Chorvat,9999-01-01,Staff,1985-03-03
240870,Francesca,Chorvat,9999-01-01,Senior Staff,1993-03-03
241254,Jagoda,Anguita,9999-01-01,Senior Engineer,1993-05-11
241567,Emran,Miara,9999-01-01,Senior Engineer,1995-05-02
241567,Emran,Miara,9999-01-01,Engineer,1989-05-02
247875,Xiong,Anick,9999-01-01,Senior Staff,1991-04-23
247612,Chiranjit,Constantine,9999-01-01,Engineer,1997-05-25
249239,Hideyuki,Decleir,9999-01-01,Senior Engineer,1994-05-04
249866,Steen,Gubsky,9999-01-01,Staff,1989-01-14
249866,Steen,Gubsky,9999-01-01,Senior Staff,1998-01-14
250452,Alexius,Plavsic,9999-01-01,Senior Engineer,2000-01-17
252185,Chaosheng,Conta,9999-01-01,Engineer,2002-04-14
252185,Chaosheng,Conta,9999-01-01,Assistant Engineer,1997-04-14
254399,Armond,Lores,9999-01-01,Technique Leader,1999-09-16
254821,Tonny,Couchot,9999-01-01,Staff,1994-12-12
258124,Mariusz,Zolotykh,9999-01-01,Senior Staff,1990-07-28
260408,Sasan,Brookner,9999-01-01,Staff,1996-09-03
260408,Sasan,Brookner,9999-01-01,Senior Staff,2001-09-03
263649,Mechthild,Zongker,9999-01-01,Senior Staff,1993-07-26
265039,Navid,Staudhammer,9999-01-01,Staff,1992-10-18
265039,Navid,Staudhammer,9999-01-01,Senior Staff,2000-10-18
264939,Bogdan,Bahi,9999-01-01,Senior Engineer,1992-02-10
